address,attributes,category,description,hours,name,phone,plus_code,popular_times,price_level,rating,review_count,url,website
"
3rd floor, Business Solutions Center, Meralco Comp, Pasig, 1604 Metro Manila",,Solar energy company,,,MSpectrum Inc.,,"
H3VC+22 Pasig, Metro Manila",,,5.0,(5),https://www.google.com/maps/place/MSpectrum+Inc./data=!4m7!3m6!1s0x3397c9df5b715e59:0x38304046ad14434!8m2!3d14.5925415!4d121.0700742!16s%2Fg%2F11pxnmr2y3!19sChIJWV5xW9_JlzMRNETRagQEgwM?authuser=0&hl=en&rclk=1,https://www.spectrum.net.ph/
"
1645 Soler Street, Corner Calero St, Quiapo, Manila, 1001 Metro Manila",,Solar energy equipment supplier,,,JD-Foz Solar Products Trading,"
0966 843 1913","
JX2M+W3 Manila, Metro Manila",,,5.0,(2),https://www.google.com/maps/place/JD-Foz+Solar+Products+Trading/data=!4m7!3m6!1s0x3397cb0855ecf2eb:0x5f3e5e739aff7ba6!8m2!3d14.6023049!4d120.9826977!16s%2Fg%2F11rs0smqrz!19sChIJ6_LsVQjLlzMRpnv_mnNePl8?authuser=0&hl=en&rclk=1,https://www.facebook.com/JDfozsolar/
"
222 7th Ave, corner 32nd St, Bonifacio Global City, Taguig, 1635 Metro Manila",,Solar energy company,,,IAN Smart Energy,"
0936 994 3462","
H332+93 Taguig, Metro Manila",,,,,https://www.google.com/maps/place/IAN+Smart+Energy/data=!4m7!3m6!1s0x8e6e4fb88baa7ce1:0xc903a985dcb5736f!8m2!3d14.5533868!4d121.0502365!16s%2Fg%2F11wqyqjctk!19sChIJ4Xyqi7hPbo4Rb3O13IWpA8k?authuser=0&hl=en&rclk=1,http://www.iansmartenergy.com/
"
1101 West Tower, Philippine Stock Exchange Centre, Exchange Rd, Ortigas Center, Pasig, 1605 Metro Manila",,Solar energy company,,,European Solar,"
0977 691 3758","
H3M6+3F Pasig, Metro Manila",,,4.0,(5),https://www.google.com/maps/place/European+Solar/data=!4m7!3m6!1s0x3397c9903955597f:0x49e00883347b321!8m2!3d14.582656!4d121.0612258!16s%2Fg%2F11rzfv3tj_!19sChIJf1lVOZDJlzMRIbNHM4gAngQ?authuser=0&hl=en&rclk=1,
"
44th Floor, Summit One Office Tower, Mandaluyong City, 1550 Metro Manila",,Solar energy company,,,Mobi Solar Philippines Inc.,"
0928 517 9985","
H2PW+MM Mandaluyong City, Metro Manila",,,5.0,(3),https://www.google.com/maps/place/Mobi+Solar+Philippines+Inc./data=!4m7!3m6!1s0x3397c990557d68c5:0x846716573ba96de!8m2!3d14.5866713!4d121.0466461!16s%2Fg%2F11vs0mpblq!19sChIJxWh9VZDJlzMR3pa6c2VxRgg?authuser=0&hl=en&rclk=1,https://mobisolar.ph/
"
97 Gil puyat avenue, cor Osmeña Hwy, Makati City, 1123 Metro Manila",,Solar energy company,,,J&J SOLAR LIGHTING CORPORATION,"
0916 516 2641","
H254+5R Makati City, Metro Manila",,,,,https://www.google.com/maps/place/J%26J+SOLAR+LIGHTING+CORPORATION/data=!4m7!3m6!1s0x3397c9c3e8589dcb:0x5858e153a6874742!8m2!3d14.5579311!4d121.0070898!16s%2Fg%2F11w3xzt3jj!19sChIJy51Y6MPJlzMRQkeHplPhWFg?authuser=0&hl=en&rclk=1,https://www.facebook.com/profile.php?id=61559058188445&mibextid=ZbWKwL
"
Level 10-01, 3rd Avenue and, 31st Street, Taguig, 1632 Metro Manila",,Solar energy company,,,Brightsun Solar Corporation,"
0905 525 8012","
H23W+JQ Taguig, Metro Manila",,,3.7,(3),https://www.google.com/maps/place/Brightsun+Solar+Corporation/data=!4m7!3m6!1s0x3397c916256aa195:0xb6a314f573a53df6!8m2!3d14.5540777!4d121.046918!16s%2Fg%2F11x0mxsj9p!19sChIJlaFqJRbJlzMR9j2lc_UUo7Y?authuser=0&hl=en&rclk=1,https://www.brightsunsolar.com.ph/
"
Unit 2311 One Corporate Center Julia Vargas Ave, Cor Meralco Ave, Pasig, 1605 Metro Manila",,Solar energy system service,,,One Renewable Energy Enterprise,"
(02) 8584 1990","
H3M7+H8 Pasig, Metro Manila",,,4.9,(7),https://www.google.com/maps/place/One+Renewable+Energy+Enterprise/data=!4m7!3m6!1s0x3397c811c67c9d0d:0x6bb2c551fe8b8ee9!8m2!3d14.5839369!4d121.063287!16s%2Fg%2F11xd0rchn!19sChIJDZ18xhHIlzMR6Y6L_lHFsms?authuser=0&hl=en&rclk=1,
"
Chateau Verde Condominium, 134, 1 Kaimito, Pasig, 1604 Metro Manila",,Solar energy company,,,SolarNRG Philippines Inc,"
0999 741 4621","
H3CC+V4 Pasig, Metro Manila",,,5.0,,https://www.google.com/maps/place/SolarNRG+Philippines+Inc/data=!4m7!3m6!1s0x3397c9dc1521bbf1:0x8e9c187efdd39503!8m2!3d14.5721609!4d121.0702804!16s%2Fg%2F11q9xc44sv!19sChIJ8bshFdzJlzMRA5XT_X4YnI4?authuser=0&hl=en&rclk=1,https://solarnrg.ph/
"
8F Belvedere Tower San Miguel Avenue, Pasig, 1605 Metro Manila",,Solar energy company,,,"SolarSolutions, Inc.","
(02) 7910 3430","
H3H5+VG Pasig, Metro Manila",,,,,"https://www.google.com/maps/place/SolarSolutions,+Inc./data=!4m7!3m6!1s0x3397c81523ab7601:0x88aff098a32d35c3!8m2!3d14.57968!4d121.058762!16s%2Fg%2F1q62cr8kv!19sChIJAXarIxXIlzMRwzUto5jwr4g?authuser=0&hl=en&rclk=1",http://www.solarsolutions.ph/
